unity_time;FPS
57.900;83.48
58.000;78.08
58.100;81.73
58.200;84.04
58.300;86.93
58.400;77.53
58.500;85.30
58.600;86.35
58.700;87.68
58.800;88.56
58.900;88.73
59.000;77.49
59.100;83.30
59.200;83.26
59.300;85.15
59.400;77.69
59.500;83.68
59.600;76.05
59.700;80.70
59.800;82.49
59.900;79.63
60.000;80.62
60.100;84.16
60.200;84.68
60.300;83.06
60.400;83.54
60.500;85.77
60.600;85.68
60.700;85.34
60.800;88.13
60.900;86.53
61.000;85.48
61.100;86.91
61.200;79.88
61.300;77.07
61.400;81.73
61.500;84.38
61.600;85.97
61.700;85.94
61.800;83.97
61.900;82.42
62.000;83.38
62.100;86.42
62.200;84.92
62.300;86.78
62.400;84.91
62.500;78.89
62.600;75.27
62.700;82.84
62.800;86.26
62.900;83.65
63.000;77.31
63.100;73.91
63.200;70.17
63.300;63.31
63.400;73.37
63.500;83.43
63.600;88.20
63.700;87.90
63.800;87.87
63.900;87.59
64.000;84.95
64.100;84.09
64.200;84.49
64.300;82.70
64.400;86.96
64.500;89.39
64.600;89.75
64.700;87.80
64.800;86.50
64.900;87.85
65.000;85.58
65.100;87.96
65.200;88.96
65.300;87.42
65.400;88.10
65.500;89.40
65.600;90.12
65.700;92.13
65.800;92.42
65.900;90.56
66.000;92.70
66.100;94.12
66.200;97.52
66.300;102.01
66.400;110.67
66.500;114.50
66.600;95.49
66.700;87.06
66.800;79.16
66.900;97.90
67.000;113.28
67.100;115.47
67.200;112.18
67.300;114.94
67.400;98.27
67.500;105.22
67.600;115.55
67.700;118.10
67.800;116.96
67.900;110.90
68.000;99.78
68.100;100.73
68.200;96.21
68.300;95.51
68.400;85.22
68.500;89.68
68.600;91.79
68.700;92.48
68.800;90.44
68.900;87.81
69.000;84.86
69.100;88.66
69.200;88.64
69.300;86.17
69.400;86.92
69.500;85.29
69.600;80.00
69.700;73.18
69.800;76.28
69.900;77.62
70.000;79.33
70.100;79.55
70.200;80.47
70.300;84.21
70.400;81.69
70.500;83.77
70.600;83.50
70.700;82.85
70.800;82.42
70.900;81.36
71.000;81.73
71.100;78.06
71.200;81.87
71.300;82.67
71.400;72.89
71.500;72.60
71.600;77.91
71.700;74.23
71.800;73.97
71.900;72.89
72.000;77.84
72.100;76.98
72.200;78.84
72.300;81.77
72.400;80.63
72.500;84.36
72.600;84.94
72.700;88.39
72.800;86.72
72.900;84.76
73.000;84.19
73.100;83.21
73.200;84.87
73.300;82.11
73.400;84.18
73.500;88.56
73.600;90.95
73.700;86.58
73.800;83.80
73.900;85.74
74.000;82.00
74.100;83.02
74.200;82.08
74.300;86.58
74.400;87.69
74.500;96.61
74.600;101.74
74.700;101.22
74.800;105.43
74.900;108.58
75.000;112.06
75.100;115.43
75.200;113.20
