Time(s);RTF
101.00;0.94
101.10;1.07
101.20;0.94
101.30;0.99
101.40;0.97
101.50;1.03
101.60;1.06
101.70;1.01
101.80;0.90
101.90;0.99
102.00;1.08
102.10;1.01
102.20;1.05
102.30;0.98
102.40;0.80
102.50;1.01
102.60;1.16
102.70;1.01
102.80;1.10
102.90;1.01
103.00;0.99
103.10;0.99
103.20;1.02
103.30;0.92
103.40;0.97
103.50;1.12
103.60;0.96
103.70;1.04
103.80;1.00
103.90;0.97
104.00;1.02
104.10;1.00
104.20;1.00
104.30;1.00
104.40;0.96
104.50;1.03
104.60;1.01
104.70;0.98
104.80;1.00
104.90;1.02
105.00;0.96
105.10;0.83
105.20;1.01
105.30;1.21
105.40;1.00
105.50;0.98
105.60;1.07
105.70;0.94
105.80;0.98
105.90;1.07
106.00;1.02
106.10;1.00
106.20;0.98
106.30;0.89
106.40;1.00
106.50;0.95
106.60;0.96
106.70;1.12
106.80;1.08
106.90;1.00
107.00;1.06
107.10;0.96
107.20;0.94
107.30;0.98
107.40;1.07
107.50;1.02
107.60;0.92
107.70;0.98
107.80;1.08
107.90;0.94
108.00;1.09
108.10;0.88
108.20;1.22
108.30;1.01
108.40;0.95
108.50;1.03
108.60;1.03
108.70;0.98
108.80;0.97
108.90;1.02
109.00;0.94
109.10;1.04
109.20;1.01
109.30;1.00
109.40;0.96
109.50;0.99
109.60;1.04
109.70;1.10
109.80;0.95
109.90;1.04
110.00;0.98
110.10;0.95
110.20;1.07
110.30;0.98
110.40;1.00
110.50;0.98
110.60;1.00
110.70;0.99
110.80;1.07
110.90;1.00
111.00;1.01
111.10;0.97
111.20;0.91
111.30;0.95
111.40;0.97
111.50;1.11
111.60;0.99
111.70;0.98
111.80;0.91
111.90;1.08
112.00;1.02
112.10;1.04
112.20;0.93
112.30;1.09
112.40;0.91
112.50;0.99
112.60;1.01
112.70;1.08
112.80;0.96
112.90;0.98
113.00;0.93
113.10;1.02
113.20;1.06
113.30;0.94
113.40;1.01
113.50;0.99
113.60;1.04
113.70;0.98
113.80;1.01
113.90;0.96
114.00;0.86
114.10;1.13
114.20;1.17
114.30;1.05
114.40;0.93
114.50;0.91
114.60;1.06
114.70;1.04
114.80;0.95
114.90;1.00
115.00;1.05
115.10;0.89
115.20;1.17
115.30;0.90
115.40;1.10
115.50;0.97
115.60;1.16
115.70;0.95
115.80;1.05
115.90;1.02
116.00;0.99
116.10;1.05
116.20;0.98
116.30;0.95
116.40;0.97
116.50;1.02
116.60;1.02
116.70;1.01
116.80;1.03
116.90;1.00
117.00;1.01
117.10;0.99
117.20;1.00
117.30;0.95
117.40;0.99
117.50;1.02
117.60;1.05
117.70;0.96
117.80;1.10
117.90;0.95
118.00;1.05
118.10;1.00
118.20;0.99
118.30;0.96
118.40;0.93
118.50;1.05
118.60;1.02
118.70;0.92
118.80;1.07
118.90;0.98
119.00;0.99
119.10;1.10
119.20;1.00
119.30;0.99
119.40;1.04
119.50;0.90
119.60;0.94
119.70;0.96
119.80;1.21
119.90;1.00
